100K Thermistor Table
 °C       Ohm     | °C        Ohm    |  °C        Ohm    

-39.44    3916295 | 2.78      302466 | 45.00      41303
-38.33    3627711 | 3.89      285206 | 46.11      39434
-37.22    3362274 | 5.00      269035 | 47.22      37660
-36.11    3117987 | 6.11      253877 | 48.33      35976
-35.00    2893035 | 7.22      239664 | 49.44      34376
-33.89    2685770 | 8.33      226331 | 50.56      32843
-32.78    2494694 | 9.44      213819 | 51.67      31399
-31.67    2318444 | 10.56     201971 | 52.78      30027
-30.56    2155781 | 11.67     190946 | 53.89      28722
-29.44    2004274 | 12.78     180588 | 55.00      27481
-28.33    1865595 | 13.89     170853 | 56.11      26300
-27.22    1737397 | 15.00     161700 | 57.22      25177
-26.11    1618827 | 16.11     153092 | 58.33      24107
-25.00    1509102 | 17.22     144992 | 59.44      23089
-23.89    1407512 | 18.33     137367 | 60.56      22111
-22.78    1313405 | 19.44     130189 | 61.67      21188
-21.67    1226184 | 20.56     123368 | 62.78      20308
-20.56    1145306 | 21.67     117000 | 63.89      19469
-19.44    1069620 | 22.78     110998 | 65.00      18670
-18.33    1000019 | 23.89     105338 | 66.11      17907
-17.22     935383 | 25.00     100000 | 67.22      17180
-16.11     875329 | 26.11      94963 | 68.33      16486
-15.00     819505 | 27.22      90208 | 69.44      15824
-13.89     767589 | 28.33      85719 | 70.56      15187
-12.78     719284 | 29.44      81479 | 71.67      14584
-11.67     674319 | 30.56      77438 | 72.78      14008
-10.56     632442 | 31.67      73654 | 73.89      13458
-9.44      593086 | 32.78      70076 | 75.00      12932
-8.33      556739 | 33.89      66692 | 76.11      12430
-7.22      522842 | 35.00      63491 | 77.22      11949
-6.11      491217 | 36.11      60461 | 78.33      11490
-5.00      461699 | 37.22      57594 | 79.44      11051
-3.89      434134 | 38.33      54878 | 80.56      10627
-2.78      408383 | 39.44      52306 | 81.67      10225
-1.67      384316 | 40.56      49847 | 82.78       9841
-0.56      361813 | 41.67      47538 | 83.89       9473
 0.56      340581 | 42.78      45349 | 85.00       9121
 1.67      320895 | 43.89      43273 | 86.11       8783
                    
